XML-ID,Wikidata ID,Given Name,Surname,Name,Year of Birth,Year of Death,Lifespan,Brief Description
peHLo,Q1612007,HERMANN,LOESCHER,HERMANN LOESCHER,1830,1892,1830-1892,tysk-italiensk bokhandler og forlegger.
peCL,Q456881,CHRISTIAN [JENSEN],LOFTHUS,CHRISTIAN [JENSEN] LOFTHUS,1750,1797,1750-1797,norsk bondefører.
peJL,,JOHAN [DAVID],LORANGE,JOHAN [DAVID] LORANGE,1834,1905,1834-1905,norsk ingeniør.
peALo,,ANATOLE,LORENTZANI,ANATOLE LORENTZANI,,,,italiensk husvert.
peAuLor,,AUG.,LORENZ,AUG. LORENZ,,,,"bibliotekar i Den Skandinaviske Forening i Roma inntil våren 1867 (HU 19, 486; Knudtzon 1927)."
peLost,Q7107889,[JOHAN] LUDVIG,LOSTING,[JOHAN] LUDVIG LOSTING,1810,1876,1810-1876,norsk maler og litograf.
peJoL,Q105598027,JOHAN,LOTHE,JOHAN LOTHE,1855,1932,1855-1932,norsk apoteker.
peAsL,Q19587503,ASTRID,LOUS,ASTRID LOUS,1872,1945,1872-1945,"norsk skuespillerinne, operasangerinne og sangpedagog."
peLov,,,,LOVISA (Louise Vilhelmina Fredrika Alexandra Anna),1828,1871,1828-1871,dronning av Norge og Sverige 1859-71.
peLovi,,,,LOVISA (Louise Josefina Eugenia),1851,1926,1851-1926,dansk kronprinsesse (dronning 1906-26).
peANL,,ALOIS N.,LUCEK,ALOIS N. LUCEK,1871,1894,1871-1894,tsjekkisk oversetter (
peLu2,Q44039,,,LUDVIG 2.,1845,1886,1845-1886,tysk monark.
peKaLu,,KAJ,LUDVIGSEN,KAJ LUDVIGSEN,1879,1902,1879-1902,"sønn av Sara og Valdemar Ludvigsen, nevø av Susanna Isen (Thoresen 2009, . 1, 16). "
peSaLu,,SARA,LUDVIGSEN,SARA LUDVIGSEN,1844,,1844-,norsk-dansk forretningsmannshustru.
peWaL,,VALDEMAR,LUDVIGSEN,VALDEMAR LUDVIGSEN,,,,dansk fabrikkeier.
peAMLP,Q1206754,AURÉLIEN [FRANÇOIS] MARIE,LUGNÉ-POË,AURÉLIEN [FRANÇOIS] MARIE LUGNÉ-POË,1869,1940,1869-1940,fransk skuespiller og teaterleder.
peALu,,ALBERT MARINIUS,LUND,ALBERT MARINIUS LUND,1867,1959,1867-1959,norsk journalist.
peCCL,,CARL CORNELIUS [CLARIN],LUND,CARL CORNELIUS [CLARIN] LUND,1824,1906,1824-1906,norsk ingeniøroffiser (Strøm 2005).
peFSL,Q5499531,FREDRIK STANG,LUND,FREDRIK STANG LUND,1859,1922,1859-1922,norsk advokat.
