Letter_ID,Sender_ID,Sender_Name,Recipient_ID,Recipient_Name,Date,Dispatch_Location,Dispatch_Location_Abbr,Mentioned_Person_ID,Mentioned_Person,Mentioned_Org_ID,Mentioned_Org,Mentioned_Places_Abbr,Mentioned_Places,Recipient_Adress,Mentioned_Works_IDs
B18750310PB,peHI,HENRIK IBSEN,pePB,PETER BLYTT,1875-03-10,DRESDEN,Dre,"'peJABl, peVBl'",,,,,,,woC2
B18750310HL,peHI,HENRIK IBSEN,peHL,HARTVIG LASSEN,1875-03-10,DRESDEN,Dre,peFH,,,,"'Kbh, Mun'","'København, München'",,"'woHH, woTV'"
B18750316FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1875-03-16,DRESDEN,Dre,"'pePHey, peIR, peHJJ, peESta, peWaL, peBB'",,,,"'Kri, Kbh, Sthlm'","'Kristiania, København, Stockholm'",,"'woHH, woF2, woC2'"
B18750327FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1875-03-27,DRESDEN,Dre,peJLo,,,,"'N, Kri'","'Norge, Kristiania'",,woC2
B18750328JHT,peHI,HENRIK IBSEN,peJHT,JOHAN HERMAN THORESEN,1875-03-28,DRESDEN,Dre,"'peCT, peMTh, peSuI, peSiI'",,orgChrTh,,Kri,Kristiania,,"'woC2, woF2'"
B18750407AEE,peHI,HENRIK IBSEN,peAEE,ANDREAS EMIL ERICHSEN,1875-04-07,DRESDEN,Dre,"'peFH, peTB'",,,,Kbh,København,,woKE
B18750502GB,peHI,HENRIK IBSEN,peGB,GEORG BRANDES,1875-05-02,MÜNCHEN,Mun,"'pePHey, peAS'",,,,"'Mun, Kbh'","'München, København'",,
B18750503FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1875-05-03,MÜNCHEN,Mun,,,orgKT,,Kbh,København,,woHH
B18750508BsS,peHI,HENRIK IBSEN,orgBsS,DET BRITISK-SKANDINAVISKE SELSKAB,1875-05-08,MÜNCHEN,Mun,,,,,Lon,London,,
B18750513EaE,peHI,HENRIK IBSEN,peEaE,ERIK AF EDHOLM,1875-05-13,MÜNCHEN,Mun,peKongO2,,orgKDTS,,Mun,München,,
B18750521JHT,peHI,HENRIK IBSEN,peJHT,JOHAN HERMAN THORESEN,1875-05-21,MÜNCHEN,Mun,"'peNL, peFH, peALi, peKongO2, peSiI, peTK'",,orgKDTS,,"'Mun, Dre, SE, Dk, Kbh, Fredv, Kri'","'på stedet, Dresden, Sverig, Danmark, København, Fredriksværk, Kristiania'",,"'woUF, woHH'"
B18750522ASL,peHI,HENRIK IBSEN,peASL,ALFRED SINDING-LARSEN,1875-05-22,MÜNCHEN,Mun,"'peEGo, peJHT'",,orgGyl,,Upp,Upsala,"'Herr cand: jur: Alfred Larsen., Hjørnet af Josefinegade og Pilestrædet., Christiania., (Norwegen.)'",
B18750524CHo,peHI,HENRIK IBSEN,peCHo,CHRISTIAN HOLST,1875-05-24,MÜNCHEN,Mun,peKongO2,,,,"'Dre, Mun'","'Dresden, München'",,
